# FIRESONG Output description
# Standard candle sources
# Desired neutrino diffuse flux:
#      E^2 dN_diffuse/dE = 9e-09 (E/100 TeV)^(-0.13) [GeV/cm^2.s.sr]
# Neutrino point source fluxes listed below are of 'A' where the flux is:
#      E^2 dN_PS/dE = A * (E/100 TeV)^(-0.13) [GeV/cm^2.s]
# Standard Candle Luminosity: 0.0000e+00 erg/yr 
# Note that using 4 years, IceCube sensitivity in the northern hemisphere
# is approximately 10^-9 in the units used for A
# Dec(deg) Redshift A
16.0582 1.8095 4.3146e-12
-14.3025 5.2055 3.0877e-13
35.9641 3.1585 1.0619e-12
-68.9452 0.5785 7.6495e-11
-4.5563 1.2925 1.0139e-11
21.6858 3.0805 1.1303e-12
34.8568 4.0955 5.5704e-13
47.6164 3.6145 7.5909e-13
-10.1748 2.8275 1.4004e-12
-40.3299 1.7075 4.9985e-12
-47.3678 2.4385 2.0307e-12
16.8057 1.8415 4.1271e-12
-31.5836 3.0545 1.1545e-12
-4.5961 2.8585 1.3627e-12
42.8068 2.8695 1.3497e-12
49.0265 1.9165 3.7302e-12
20.7857 2.3945 2.1259e-12
3.0259 1.1285 1.4311e-11
-23.0304 1.6365 5.5673e-12
74.5351 1.7605 4.6256e-12
-53.3753 3.2085 1.0211e-12
-33.7094 3.9265 6.1823e-13
-7.6046 1.3675 8.7852e-12
-5.7520 2.2915 2.3749e-12
-7.3759 4.8235 3.7224e-13
-55.0033 1.5705 6.1806e-12
-2.1004 6.1855 2.0267e-13
52.9189 3.0545 1.1545e-12
-66.3193 1.3265 9.4918e-12
-34.1840 2.0375 3.1949e-12
48.6563 4.6935 3.9809e-13
-10.3366 4.5775 4.2336e-13
-74.6002 3.9825 5.9694e-13
-84.2226 1.9255 3.6863e-12
33.9594 2.2765 2.4146e-12
-42.6047 4.8595 3.6550e-13
20.1336 0.9685 2.1081e-11
21.1895 2.8445 1.3796e-12
-36.3267 4.2195 5.1747e-13
-28.3154 6.0905 2.1045e-13
-57.1849 1.2025 1.2180e-11
-30.2036 5.0805 3.2772e-13
16.7730 2.7375 1.5187e-12
-15.5663 4.5375 4.3261e-13
2.0218 2.7955 1.4409e-12
-33.2162 4.0395 5.7632e-13
-46.2281 1.8055 4.3389e-12
-28.6715 0.5755 7.7482e-11
-55.5980 2.2275 2.5508e-12
35.4334 2.4485 2.0099e-12
-11.6740 8.4325 9.5799e-14
13.7672 3.9495 6.0936e-13
-48.7361 1.7535 4.6725e-12
-52.8229 1.1835 1.2682e-11
-23.8294 3.4855 8.3083e-13
29.2657 0.8855 2.6435e-11
-29.5494 2.9055 1.3082e-12
4.5176 1.2055 1.2103e-11
-8.3325 2.9115 1.3015e-12
36.3583 2.2405 2.5136e-12
-25.7284 5.0215 3.3724e-13
-33.4006 2.8765 1.3415e-12
41.4830 5.8625 2.3095e-13
5.4669 1.8835 3.8980e-12
24.3246 3.7275 7.0326e-13
-9.0710 1.7215 4.8960e-12
-31.7622 2.0745 3.0529e-12
-45.4573 2.8085 1.4243e-12
41.4657 2.0325 3.2149e-12
8.7328 1.0855 1.5793e-11
56.3885 4.6355 4.1045e-13
25.0737 1.9395 3.6193e-12
-21.8732 2.4805 1.9453e-12
21.1535 3.8055 6.6807e-13
-34.4691 2.4975 1.9122e-12
8.4907 1.7965 4.3942e-12
-17.4808 4.4715 4.4850e-13
32.8424 2.2935 2.3697e-12
53.3476 3.4525 8.5072e-13
-38.7368 3.1795 1.0445e-12
2.4403 0.8425 2.9966e-11
-18.2611 4.3155 4.8953e-13
-67.1068 3.2305 1.0038e-12
1.9426 1.6675 5.3083e-12
6.2865 1.6855 5.1657e-12
-2.6972 0.7625 3.8499e-11
-40.1218 3.2765 9.6907e-13
-48.7084 3.2465 9.9154e-13
-15.5343 3.3525 9.1527e-13
-66.9119 2.9505 1.2589e-12
-74.9038 4.2015 5.2296e-13
-1.1527 1.8885 3.8719e-12
-23.5933 4.3685 4.7501e-13
-16.9517 4.6175 4.1439e-13
-37.6781 0.8395 3.0237e-11
-20.6768 0.8895 2.6136e-11
63.4118 1.2595 1.0828e-11
-40.5254 3.8065 6.6763e-13
49.4925 1.9745 3.4591e-12
-13.2385 3.6875 7.2234e-13
-38.0832 2.0615 3.1018e-12
70.3314 0.5665 8.0548e-11
-52.4626 4.1985 5.2388e-13
-34.0489 2.0985 2.9654e-12
-78.0066 2.9945 1.2131e-12
49.4764 1.2275 1.1559e-11
-17.5024 1.8995 3.8153e-12
9.9794 1.3485 9.1032e-12
63.7487 1.8915 3.8563e-12
48.1379 2.2465 2.4967e-12
-33.5273 2.4385 2.0307e-12
-35.3614 4.1105 5.5203e-13
-11.4415 2.3045 2.3413e-12
-5.5061 1.8755 3.9402e-12
-60.5071 4.5405 4.3190e-13
-0.8583 3.1815 1.0428e-12
50.5418 2.2995 2.3541e-12
52.7247 2.6225 1.6913e-12
-25.2645 6.6405 1.7057e-13
85.6746 1.3525 9.0349e-12
-48.6565 3.3705 9.0315e-13
-71.4912 7.2505 1.3787e-13
-10.0981 1.1255 1.4407e-11
-19.0997 3.8825 6.3572e-13
-39.9758 4.4685 4.4924e-13
42.2760 4.5395 4.3214e-13
-45.3866 1.6475 5.4734e-12
8.7518 4.5775 4.2336e-13
-57.3570 2.4855 1.9355e-12
-88.0966 1.5835 6.0526e-12
15.8425 4.3595 4.7743e-13
18.8438 0.8335 3.0787e-11
35.8347 2.2505 2.4855e-12
21.9439 0.8735 2.7360e-11
45.9983 3.4315 8.6373e-13
-55.5020 3.4105 8.7702e-13
78.3519 0.8985 2.5480e-11
46.1693 2.6695 1.6176e-12
37.3243 2.9375 1.2728e-12
-4.0433 3.4065 8.7958e-13
28.9988 3.6705 7.3067e-13
19.6917 1.0125 1.8840e-11
32.5762 2.3175 2.3083e-12
-23.4015 3.7645 6.8625e-13
36.0969 4.2655 5.0381e-13
-28.5532 2.9505 1.2589e-12
-76.6789 4.0505 5.7246e-13
1.6278 2.7305 1.5285e-12
-0.0741 3.7375 6.9861e-13
-59.6594 4.5125 4.3853e-13
48.3499 0.8165 3.2425e-11
24.2503 1.8095 4.3146e-12
-34.8576 4.2095 5.2051e-13
-15.5419 2.9955 1.2121e-12
69.2193 1.4895 7.0705e-12
-3.0299 2.5555 1.8049e-12
-9.6182 3.4955 8.2493e-13
81.9665 0.5145 1.0200e-10
34.1157 3.1495 1.0695e-12
2.2177 1.1345 1.4119e-11
-32.6059 2.8395 1.3857e-12
-25.7340 3.0965 1.1157e-12
-47.5634 3.1725 1.0502e-12
8.3971 2.3385 2.2565e-12
5.6197 5.0465 3.3316e-13
-50.6782 1.1685 1.3100e-11
-7.3560 1.5775 6.1112e-12
-56.1913 3.9605 6.0518e-13
-43.2385 3.5425 7.9800e-13
-54.5706 1.8505 4.0765e-12
-25.2482 6.2635 1.9659e-13
54.3906 3.9585 6.0593e-13
4.4122 3.0195 1.1882e-12
